soil type;rootzone thickness (cm);groundwater level (meter below surface);root zone soil moisture storage in equilibrium conditions (mm);potential capillary rise (mm/day);storage coefficient (m/m)
4;60;0.9;310.3;5;0.044
4;60;1;305.8;5;0.069
4;60;1.1;301.6;5;0.091
4;60;1.2;297.7;5;0.114
4;60;1.3;294;4.692;0.135
4;60;1.4;290.6;3.888;0.152
4;60;1.5;287.3;3.148;0.167
4;60;1.6;284.3;2.471;0.179
4;60;1.7;281.4;1.882;0.189
4;60;1.8;278.7;1.406;0.199
4;60;1.9;276.2;1.047;0.207
4;60;2;273.8;0.785;0.214
4;60;2.1;271.5;0.595;0.22
4;60;2.2;269.3;0.457;0.225
4;60;2.3;267.2;0.356;0.229
4;60;2.4;265.2;0.281;0.233
4;60;2.5;263.3;0.224;0.237
4;60;3;255;0.084;0.25
4;60;4;242.2;0.02;0.265
4;60;5;232.7;0.007;0.272
4;60;10;206.1;0;0.285
4;70;0;408.8;5;0.01
4;70;0.1;408.3;5;0.01
4;70;0.2;406.9;5;0.01
4;70;0.3;404.8;5;0.01
4;70;0.4;402;5;0.01
4;70;0.5;398.5;5;0.01
4;70;0.6;394;5;0.01
4;70;0.7;388.4;5;0.01
4;70;0.8;382.2;5;0.014
4;70;0.9;376.1;5;0.03
4;70;1;370.3;5;0.055
4;70;1.1;364.8;5;0.079
4;70;1.2;359.7;5;0.103
4;70;1.3;354.8;5;0.124
4;70;1.4;350.3;5;0.142
4;70;1.5;346.1;4.556;0.157
4;70;1.6;342.1;3.094;0.171
4;70;1.7;338.3;2.142;0.181
4;70;1.8;334.8;1.516;0.191
4;70;1.9;331.5;1.097;0.2
4;70;2;328.3;0.809;0.207
4;70;2.1;325.3;0.608;0.213
4;70;2.2;322.4;0.465;0.218
4;70;2.3;319.7;0.361;0.223
4;70;2.4;317.1;0.284;0.228
4;70;2.5;314.7;0.226;0.231
4;70;3;303.8;0.085;0.246
4;70;4;287.3;0.02;0.261
4;70;5;275.1;0.007;0.27
4;70;10;241.2;0;0.284
4;80;0;458.4;5;0.01
4;80;0.1;457.9;5;0.01
4;80;0.2;456.5;5;0.01
4;80;0.3;454.4;5;0.01
4;80;0.4;451.6;5;0.01
4;80;0.5;448.1;5;0.01
4;80;0.6;443.6;5;0.01
4;80;0.7;438;5;0.01
4;80;0.8;431.3;5;0.01
4;80;0.9;424.2;5;0.014
4;80;1;416.8;5;0.035
4;80;1.1;409.4;5;0.06
4;80;1.2;402.4;5;0.085
4;80;1.3;395.8;5;0.108
4;80;1.4;389.6;5;0.128
4;80;1.5;384;5;0.145
4;80;1.6;378.7;3.852;0.159
4;80;1.7;373.9;2.61;0.172
4;80;1.8;369.3;1.817;0.182
4;80;1.9;365.1;1.297;0.192
4;80;2;361.2;0.946;0.199
4;80;2.1;357.4;0.704;0.206
4;80;2.2;353.9;0.533;0.212
4;80;2.3;350.6;0.411;0.218
4;80;2.4;347.5;0.321;0.222
4;80;2.5;344.5;0.254;0.227
4;80;3;331.5;0.093;0.242
4;80;4;312.2;0.021;0.259
4;80;5;298.2;0.007;0.268
4;80;10;259.8;0;0.283
4;90;0;488.8;5;0.01
4;90;0.1;488.3;5;0.01
4;90;0.2;486.9;5;0.01
4;90;0.3;484.8;5;0.01
4;90;0.4;482;5;0.01
4;90;0.5;478.5;5;0.01
4;90;0.6;474;5;0.01
4;90;0.7;468.4;5;0.01
4;90;0.8;461.7;5;0.01
4;90;0.9;454.2;5;0.01
4;90;1;445.8;5;0.014
4;90;1.1;436.3;5;0.035
4;90;1.2;426.8;5;0.06
4;90;1.3;417.7;5;0.085
4;90;1.4;409.2;5;0.108
4;90;1.5;401.6;5;0.128
4;90;1.6;394.6;5;0.145
4;90;1.7;388.3;3.852;0.159
4;90;1.8;382.6;2.61;0.172
4;90;1.9;377.3;1.817;0.182
4;90;2;372.4;1.297;0.192
4;90;2.1;367.9;0.946;0.199
4;90;2.2;363.7;0.704;0.206
4;90;2.3;359.8;0.533;0.212
4;90;2.4;356.1;0.411;0.218
4;90;2.5;352.6;0.321;0.222
4;90;3;337.9;0.111;0.24
4;90;4;316.8;0.024;0.258
4;90;5;301.8;0.008;0.268
4;90;10;261.9;0;0.283
4;100;0;519.2;5;0.01
4;100;0.1;518.7;5;0.01
4;100;0.2;517.3;5;0.01
4;100;0.3;515.2;5;0.01
4;100;0.4;512.4;5;0.01
4;100;0.5;508.9;5;0.01
4;100;0.6;504.4;5;0.01
4;100;0.7;498.8;5;0.01
4;100;0.8;492.1;5;0.01
4;100;0.9;484.6;5;0.01
4;100;1;475.7;5;0.01
4;100;1.1;465.3;5;0.014
4;100;1.2;453.6;5;0.035
4;100;1.3;442;5;0.06
4;100;1.4;431.1;5;0.085
4;100;1.5;421.2;5;0.108
4;100;1.6;412.3;5;0.128
4;100;1.7;404.2;5;0.145
4;100;1.8;397;3.852;0.159
4;100;1.9;390.5;2.61;0.172
4;100;2;384.6;1.817;0.182
4;100;2.1;379.1;1.297;0.192
4;100;2.2;374.2;0.946;0.199
4;100;2.3;369.6;0.704;0.206
4;100;2.4;365.3;0.533;0.212
4;100;2.5;361.3;0.411;0.218
4;100;3;344.7;0.135;0.237
4;100;4;321.5;0.027;0.257
4;100;5;305.6;0.009;0.267
4;100;10;264;0;0.283
5;10;0;34.4;5;0.01
5;10;0.1;33.8;5;0.01
5;10;0.2;32.4;5;0.02
5;10;0.3;30.5;5;0.036
5;10;0.4;28.6;5;0.049
5;10;0.5;26.9;4.423;0.063
5;10;0.6;25.4;2.984;0.071
5;10;0.7;24.1;2.174;0.083
5;10;0.8;22.9;1.693;0.093
5;10;0.9;21.8;1.409;0.108
5;10;1;20.9;1.205;0.137
5;10;1.1;20;1.045;0.15
5;10;1.2;19.3;0.916;0.169
5;10;1.3;18.6;0.809;0.188
5;10;1.4;18;0.719;0.203
5;10;1.5;17.4;0.641;0.215
5;10;1.6;16.9;0.573;0.225
5;10;1.7;16.4;0.512;0.228
5;10;1.8;16;0.456;0.24
5;10;1.9;15.6;0.405;0.246
5;10;2;15.2;0.359;0.251
5;10;2.1;14.8;0.315;0.255
5;10;2.2;14.5;0.275;0.258
5;10;2.3;14.2;0.238;0.261
5;10;2.4;13.9;0.204;0.264
5;10;2.5;13.6;0.174;0.266
5;10;3;12.4;0.076;0.273
5;10;4;10.8;0.019;0.281
5;10;5;9.7;0.007;0.284
5;10;10;6.9;0;0.289
5;20;0;68.8;5;0.01
5;20;0.1;68.2;5;0.01
5;20;0.2;66.2;5;0.01
5;20;0.3;62.9;5;0.018
5;20;0.4;59.1;5;0.03
5;20;0.5;55.6;5;0.044
5;20;0.6;52.4;3.599;0.056
5;20;0.7;49.5;2.579;0.069
5;20;0.8;46.9;1.991;0.081
5;20;0.9;44.7;1.655;0.098
5;20;1;42.7;1.416;0.127
5;20;1.1;40.9;1.228;0.142
5;20;1.2;39.3;1.076;0.163
5;20;1.3;37.9;0.951;0.181
5;20;1.4;36.6;0.844;0.197
5;20;1.5;35.4;0.752;0.209
5;20;1.6;34.3;0.67;0.22
5;20;1.7;33.3;0.596;0.224
5;20;1.8;32.4;0.53;0.236
5;20;1.9;31.5;0.467;0.242
5;20;2;30.7;0.41;0.247
5;20;2.1;30;0.356;0.251
5;20;2.2;29.3;0.307;0.255
5;20;2.3;28.7;0.261;0.258
5;20;2.4;28.1;0.221;0.261
5;20;2.5;27.5;0.186;0.263
5;20;3;25.1;0.078;0.271
5;20;4;21.7;0.019;0.279
5;20;5;19.4;0.007;0.283
5;20;10;13.9;0;0.289
5;30;0;121.6;5;0.01
5;30;0.1;121;5;0.01
5;30;0.2;119;5;0.01
5;30;0.3;115.1;5;0.01
5;30;0.4;110.1;5;0.015
5;30;0.5;105;5;0.027
5;30;0.6;100.2;5;0.041
5;30;0.7;95.8;3.444;0.055
5;30;0.8;91.8;2.58;0.068
5;30;0.9;88.2;2.125;0.085
5;30;1;85;1.807;0.115
5;30;1.1;82.1;1.56;0.132
5;30;1.2;79.4;1.362;0.154
5;30;1.3;77;1.198;0.173
5;30;1.4;74.8;1.058;0.188
5;30;1.5;72.8;0.937;0.202
5;30;1.6;70.9;0.829;0.213
5;30;1.7;69.2;0.731;0.217
5;30;1.8;67.6;0.641;0.229
5;30;1.9;66.1;0.558;0.236
5;30;2;64.7;0.481;0.241
5;30;2.1;63.4;0.41;0.246
5;30;2.2;62.1;0.345;0.25
5;30;2.3;61;0.288;0.253
5;30;2.4;59.9;0.239;0.256
5;30;2.5;58.8;0.198;0.259
5;30;3;54.4;0.08;0.268
5;30;4;48;0.019;0.277
5;30;5;43.6;0.007;0.281
5;30;10;32.4;0;0.288
5;40;0;192.8;5;0.01
5;40;0.1;192.2;5;0.01
5;40;0.2;190.2;5;0.01
5;40;0.3;186.3;5;0.01
5;40;0.4;180.8;5;0.01
5;40;0.5;174.7;5;0.015
5;40;0.6;168.6;5;0.027
5;40;0.7;162.9;5;0.041
5;40;0.8;157.5;3.608;0.054
5;40;0.9;152.5;2.926;0.072
5;40;1;148;2.465;0.1
5;40;1.1;143.8;2.112;0.12
5;40;1.2;139.9;1.83;0.142
5;40;1.3;136.3;1.597;0.161
5;40;1.4;133;1.399;0.178
5;40;1.5;129.9;1.226;0.192
5;40;1.6;127;1.072;0.203
5;40;1.7;124.4;0.929;0.209
5;40;1.8;121.8;0.799;0.221
5;40;1.9;119.5;0.679;0.228
5;40;2;117.3;0.569;0.233
5;40;2.1;115.2;0.471;0.238
5;40;2.2;113.2;0.386;0.243
5;40;2.3;111.3;0.314;0.246
5;40;2.4;109.6;0.255;0.25
5;40;2.5;107.9;0.208;0.253
5;40;3;100.6;0.081;0.263
5;40;4;89.9;0.019;0.273
5;40;5;82.3;0.007;0.279
5;40;10;62.7;0;0.287
5;50;0;264;5;0.01
5;50;0.1;263.4;5;0.01
5;50;0.2;261.4;5;0.01
5;50;0.3;257.5;5;0.01
5;50;0.4;252;5;0.01
5;50;0.5;245.5;5;0.01
5;50;0.6;238.4;5;0.015
5;50;0.7;231.3;5;0.027
5;50;0.8;224.6;5;0.04
5;50;0.9;218.2;4.388;0.058
5;50;1;212.3;3.655;0.086
5;50;1.1;206.7;3.101;0.107
5;50;1.2;201.6;2.661;0.13
5;50;1.3;196.8;2.296;0.15
5;50;1.4;192.3;1.985;0.167
5;50;1.5;188.1;1.71;0.181
5;50;1.6;184.2;1.459;0.193
5;50;1.7;180.5;1.231;0.201
5;50;1.8;177;1.023;0.212
5;50;1.9;173.8;0.834;0.219
5;50;2;170.7;0.669;0.225
5;50;2.1;167.8;0.532;0.231
5;50;2.2;165;0.422;0.235
5;50;2.3;162.4;0.336;0.239
5;50;2.4;159.9;0.268;0.243
5;50;2.5;157.6;0.216;0.246
5;50;3;147.3;0.083;0.258
5;50;4;132.1;0.02;0.27
5;50;5;121.3;0.007;0.276
5;50;10;93.1;0;0.286
5;60;0;335.2;5;0.01
5;60;0.1;334.6;5;0.01
5;60;0.2;332.6;5;0.01
5;60;0.3;328.7;5;0.01
5;60;0.4;323.2;5;0.01
5;60;0.5;316.7;5;0.01
5;60;0.6;309.1;5;0.01
5;60;0.7;301.1;5;0.014
5;60;0.8;293;5;0.026
5;60;0.9;285.3;5;0.044
5;60;1;278;5;0.071
5;60;1.1;271;5;0.093
5;60;1.2;264.5;4.515;0.117
5;60;1.3;258.5;3.813;0.138
5;60;1.4;252.7;3.2;0.155
5;60;1.5;247.4;2.647;0.17
5;60;1.6;242.3;2.137;0.183
5;60;1.7;237.6;1.687;0.192
5;60;1.8;233.1;1.303;0.202
5;60;1.9;228.9;0.995;0.21
5;60;2;225;0.758;0.217
5;60;2.1;221.2;0.581;0.222
5;60;2.2;217.6;0.449;0.228
5;60;2.3;214.2;0.351;0.232
5;60;2.4;211;0.278;0.236
5;60;2.5;208;0.222;0.239
5;60;3;194.6;0.084;0.252
5;60;4;174.8;0.02;0.266
5;60;5;160.6;0.007;0.273
5;60;10;123.6;0;0.285
5;70;0;406.4;5;0.01
5;70;0.1;405.8;5;0.01
5;70;0.2;403.8;5;0.01
5;70;0.3;399.9;5;0.01
5;70;0.4;394.4;5;0.01
5;70;0.5;387.9;5;0.01
5;70;0.6;380.3;5;0.01
5;70;0.7;371.8;5;0.01
5;70;0.8;362.8;5;0.014
5;70;0.9;353.8;5;0.03
5;70;1;345;5;0.055
5;70;1.1;336.7;5;0.08
5;70;1.2;328.9;5;0.104
5;70;1.3;321.4;5;0.125
5;70;1.4;314.4;5;0.143
5;70;1.5;307.8;4.385;0.159
5;70;1.6;301.6;3.028;0.172
5;70;1.7;295.8;2.115;0.182
5;70;1.8;290.3;1.503;0.192
5;70;1.9;285.1;1.09;0.201
5;70;2;280.1;0.805;0.208
5;70;2.1;275.5;0.606;0.214
5;70;2.2;271;0.463;0.219
5;70;2.3;266.8;0.36;0.224
5;70;2.4;262.8;0.283;0.228
5;70;2.5;259;0.226;0.232
5;70;3;242.4;0.085;0.246
5;70;4;217.8;0.02;0.262
5;70;5;200.1;0.007;0.27
5;70;10;154.2;0;0.284
5;80;0;457.2;5;0.01
5;80;0.1;456.6;5;0.01
5;80;0.2;454.6;5;0.01
5;80;0.3;450.7;5;0.01
5;80;0.4;445.2;5;0.01
5;80;0.5;438.7;5;0.01
5;80;0.6;431.1;5;0.01
5;80;0.7;422.6;5;0.01
5;80;0.8;413.1;5;0.01
5;80;0.9;403.2;5;0.014
5;80;1;392.9;5;0.035
5;80;1.1;382.6;5;0.06
5;80;1.2;372.8;5;0.085
5;80;1.3;363.5;5;0.108
5;80;1.4;354.8;5;0.128
5;80;1.5;346.7;5;0.145
5;80;1.6;339.1;3.852;0.159
5;80;1.7;332;2.61;0.172
5;80;1.8;325.4;1.817;0.182
5;80;1.9;319.2;1.297;0.192
5;80;2;313.4;0.946;0.199
5;80;2.1;307.9;0.704;0.206
5;80;2.2;302.7;0.533;0.212
5;80;2.3;297.8;0.411;0.218
5;80;2.4;293.2;0.321;0.222
5;80;2.5;288.8;0.254;0.227
5;80;3;269.7;0.093;0.242
5;80;4;241.7;0.021;0.259
5;80;5;221.8;0.007;0.268
5;80;10;170.6;0;0.283
5;90;0;487.6;5;0.01
5;90;0.1;487;5;0.01
5;90;0.2;485;5;0.01
5;90;0.3;481.1;5;0.01
5;90;0.4;475.6;5;0.01
5;90;0.5;469.1;5;0.01
5;90;0.6;461.5;5;0.01
5;90;0.7;453;5;0.01
5;90;0.8;443.5;5;0.01
5;90;0.9;433.1;5;0.01
5;90;1;421.8;5;0.014
5;90;1.1;409.5;5;0.035
5;90;1.2;397.2;5;0.06
5;90;1.3;385.4;5;0.085
5;90;1.4;374.4;5;0.108
5;90;1.5;364.3;5;0.128
5;90;1.6;355;5;0.145
5;90;1.7;346.5;3.852;0.159
5;90;1.8;338.6;2.61;0.172
5;90;1.9;331.4;1.817;0.182
5;90;2;324.6;1.297;0.192
5;90;2.1;318.4;0.946;0.199
5;90;2.2;312.5;0.704;0.206
5;90;2.3;307;0.533;0.212
5;90;2.4;301.8;0.411;0.218
5;90;2.5;296.9;0.321;0.222
5;90;3;276.1;0.111;0.24
5;90;4;246.3;0.024;0.258
5;90;5;225.5;0.008;0.268
5;90;10;172.6;0;0.283
5;100;0;518;5;0.01
5;100;0.1;517.4;5;0.01
5;100;0.2;515.4;5;0.01
5;100;0.3;511.5;5;0.01
5;100;0.4;506;5;0.01
5;100;0.5;499.5;5;0.01
5;100;0.6;491.9;5;0.01
5;100;0.7;483.4;5;0.01
5;100;0.8;473.9;5;0.01
5;100;0.9;463.5;5;0.01
5;100;1;451.8;5;0.01
5;100;1.1;438.5;5;0.014
5;100;1.2;424.1;5;0.035
5;100;1.3;409.8;5;0.06
5;100;1.4;396.3;5;0.085
5;100;1.5;383.9;5;0.108
5;100;1.6;372.6;5;0.128
5;100;1.7;362.4;5;0.145
5;100;1.8;353.1;3.852;0.159
5;100;1.9;344.6;2.61;0.172
5;100;2;336.8;1.817;0.182
5;100;2.1;329.6;1.297;0.192
5;100;2.2;322.9;0.946;0.199
5;100;2.3;316.7;0.704;0.206
5;100;2.4;311;0.533;0.212
5;100;2.5;305.6;0.411;0.218
5;100;3;282.8;0.135;0.237
5;100;4;251;0.027;0.257
5;100;5;229.2;0.009;0.267
5;100;10;174.8;0;0.283
6;10;0;61.6;5;0.01
6;10;0.1;61;5;0.01
6;10;0.2;59.8;5;0.018
6;10;0.3;58.7;5;0.028
6;10;0.4;57.7;3.421;0.034
6;10;0.5;56.7;2.168;0.034
6;10;0.6;55.9;1.318;0.038
6;10;0.7;55.1;0.921;0.037
6;10;0.8;54.4;0.697;0.04
6;10;0.9;53.8;0.553;0.042
6;10;1;53.2;0.453;0.044
6;10;1.1;52.6;0.38;0.046
6;10;1.2;52.1;0.325;0.049
6;10;1.3;51.6;0.282;0.05
6;10;1.4;51.2;0.247;0.053
6;10;1.5;50.8;0.219;0.055
6;10;1.6;50.4;0.195;0.057
6;10;1.7;50;0.175;0.059
6;10;1.8;49.6;0.158;0.061
6;10;1.9;49.3;0.144;0.063
6;10;2;49;0.131;0.065
6;10;2.1;48.7;0.12;0.067
6;10;2.2;48.4;0.11;0.069
6;10;2.3;48.1;0.102;0.071
6;10;2.4;47.8;0.094;0.072
6;10;2.5;47.6;0.087;0.074
6;10;3;46.4;0.062;0.081
6;10;4;44.6;0.034;0.094
6;10;5;43.2;0.021;0.104
6;10;10;39.1;0.001;0.135
6;20;0;123.2;5;0.01
6;20;0.1;122.6;5;0.01
6;20;0.2;120.8;5;0.01
6;20;0.3;118.5;5;0.017
6;20;0.4;116.4;5;0.023
6;20;0.5;114.4;3.116;0.025
6;20;0.6;112.6;1.752;0.029
6;20;0.7;111;1.177;0.03
6;20;0.8;109.5;0.867;0.033
6;20;0.9;108.2;0.675;0.035
6;20;1;106.9;0.545;0.038
6;20;1.1;105.8;0.453;0.041
6;20;1.2;104.7;0.383;0.044
6;20;1.3;103.7;0.33;0.045
6;20;1.4;102.8;0.287;0.049
6;20;1.5;101.9;0.253;0.051
6;20;1.6;101.1;0.224;0.053
6;20;1.7;100.3;0.201;0.056
6;20;1.8;99.6;0.181;0.058
6;20;1.9;98.9;0.163;0.06
6;20;2;98.3;0.148;0.062
6;20;2.1;97.6;0.136;0.064
6;20;2.2;97;0.124;0.066
6;20;2.3;96.5;0.114;0.068
6;20;2.4;95.9;0.105;0.07
6;20;2.5;95.4;0.097;0.071
6;20;3;93;0.068;0.079
6;20;4;89.4;0.038;0.092
6;20;5;86.6;0.022;0.103
6;20;10;78.3;0.002;0.134
6;30;0;184.8;5;0.01
6;30;0.1;184.2;5;0.01
6;30;0.2;182.4;5;0.01
6;30;0.3;179.5;5;0.01
6;30;0.4;176.2;5;0.012
6;30;0.5;173.1;4.892;0.014
6;30;0.6;170.3;2.542;0.019
6;30;0.7;167.7;1.622;0.021
6;30;0.8;165.4;1.153;0.025
6;30;0.9;163.3;0.874;0.028
6;30;1;161.3;0.692;0.032
6;30;1.1;159.5;0.565;0.035
6;30;1.2;157.9;0.472;0.038
6;30;1.3;156.3;0.401;0.041
6;30;1.4;154.9;0.346;0.044
6;30;1.5;153.6;0.301;0.047
6;30;1.6;152.3;0.265;0.049
6;30;1.7;151.1;0.236;0.052
6;30;1.8;150;0.211;0.054
6;30;1.9;148.9;0.19;0.056
6;30;2;147.9;0.171;0.059
6;30;2.1;146.9;0.156;0.061
6;30;2.2;146;0.142;0.063
6;30;2.3;145.1;0.13;0.065
6;30;2.4;144.3;0.12;0.067
6;30;2.5;143.5;0.11;0.069
6;30;3;139.9;0.076;0.077
6;30;4;134.3;0.041;0.091
6;30;5;130;0.024;0.101
6;30;10;117.6;0.002;0.133
6;40;0;238;5;0.01
6;40;0.1;237.4;5;0.01
6;40;0.2;235.6;5;0.01
6;40;0.3;232.7;5;0.01
6;40;0.4;228.8;5;0.01
6;40;0.5;224.9;5;0.01
6;40;0.6;221.4;4.88;0.011
6;40;0.7;218.1;2.668;0.015
6;40;0.8;215.1;1.724;0.019
6;40;0.9;212.4;1.227;0.023
6;40;1;209.9;0.928;0.027
6;40;1.1;207.6;0.733;0.03
6;40;1.2;205.5;0.596;0.034
6;40;1.3;203.5;0.497;0.037
6;40;1.4;201.6;0.421;0.04
6;40;1.5;199.8;0.362;0.043
6;40;1.6;198.2;0.315;0.046
6;40;1.7;196.7;0.277;0.048
6;40;1.8;195.2;0.245;0.051
6;40;1.9;193.8;0.219;0.053
6;40;2;192.5;0.197;0.056
6;40;2.1;191.2;0.178;0.058
6;40;2.2;190;0.161;0.06
6;40;2.3;188.9;0.147;0.062
6;40;2.4;187.8;0.134;0.064
6;40;2.5;186.7;0.123;0.066
6;40;3;182.1;0.084;0.075
6;40;4;174.8;0.045;0.089
6;40;5;169.2;0.026;0.1
6;40;10;153;0.002;0.133
6;50;0;282.8;5;0.01
6;50;0.1;282.2;5;0.01
6;50;0.2;280.4;5;0.01
6;50;0.3;277.5;5;0.01
6;50;0.4;273.6;5;0.01
6;50;0.5;269.3;5;0.01
6;50;0.6;265.5;5;0.01
6;50;0.7;261.8;4.88;0.011
6;50;0.8;258.5;2.668;0.015
6;50;0.9;255.3;1.724;0.019
6;50;1;252.4;1.227;0.023
6;50;1.1;249.7;0.928;0.027
6;50;1.2;247.2;0.733;0.03
6;50;1.3;244.9;0.596;0.034
6;50;1.4;242.7;0.497;0.037
6;50;1.5;240.7;0.421;0.04
6;50;1.6;238.7;0.362;0.043
6;50;1.7;236.9;0.315;0.046
6;50;1.8;235.2;0.277;0.048
6;50;1.9;233.5;0.245;0.051
6;50;2;231.9;0.219;0.053
6;50;2.1;230.4;0.197;0.056
6;50;2.2;229;0.178;0.058
6;50;2.3;227.6;0.161;0.06
6;50;2.4;226.3;0.147;0.062
6;50;2.5;225.1;0.134;0.064
6;50;3;219.5;0.09;0.073
6;50;4;210.8;0.047;0.088
6;50;5;204.1;0.027;0.099
6;50;10;184.5;0.002;0.132
6;60;0;327.6;5;0.01
6;60;0.1;327;5;0.01
6;60;0.2;325.2;5;0.01
6;60;0.3;322.3;5;0.01
6;60;0.4;318.4;5;0.01
6;60;0.5;314.1;5;0.01
6;60;0.6;309.9;5;0.01
6;60;0.7;305.9;5;0.01
6;60;0.8;302.2;4.88;0.011
6;60;0.9;298.6;2.668;0.015
6;60;1;295.3;1.724;0.019
6;60;1.1;292.2;1.227;0.023
6;60;1.2;289.4;0.928;0.027
6;60;1.3;286.7;0.733;0.03
6;60;1.4;284.2;0.596;0.034
6;60;1.5;281.8;0.497;0.037
6;60;1.6;279.5;0.421;0.04
6;60;1.7;277.4;0.362;0.043
6;60;1.8;275.4;0.315;0.046
6;60;1.9;273.5;0.277;0.048
6;60;2;271.6;0.245;0.051
6;60;2.1;269.9;0.219;0.053
6;60;2.2;268.2;0.197;0.056
6;60;2.3;266.6;0.178;0.058
6;60;2.4;265.1;0.161;0.06
6;60;2.5;263.7;0.147;0.062
6;60;3;257.1;0.097;0.072
6;60;4;246.9;0.05;0.087
6;60;5;239;0.029;0.098
6;60;10;216.1;0.002;0.132
6;70;0;372.4;5;0.01
6;70;0.1;371.8;5;0.01
6;70;0.2;370;5;0.01
6;70;0.3;367.1;5;0.01
6;70;0.4;363.2;5;0.01
6;70;0.5;358.9;5;0.01
6;70;0.6;354.7;5;0.01
6;70;0.7;350.3;5;0.01
6;70;0.8;346.3;5;0.01
6;70;0.9;342.3;4.88;0.011
6;70;1;338.6;2.668;0.015
6;70;1.1;335.1;1.724;0.019
6;70;1.2;331.9;1.227;0.023
6;70;1.3;328.8;0.928;0.027
6;70;1.4;325.9;0.733;0.03
6;70;1.5;323.2;0.596;0.034
6;70;1.6;320.6;0.497;0.037
6;70;1.7;318.2;0.421;0.04
6;70;1.8;315.9;0.362;0.043
6;70;1.9;313.7;0.315;0.046
6;70;2;311.6;0.277;0.048
6;70;2.1;309.6;0.245;0.051
6;70;2.2;307.7;0.219;0.053
6;70;2.3;305.9;0.197;0.056
6;70;2.4;304.1;0.178;0.058
6;70;2.5;302.4;0.161;0.06
6;70;3;294.9;0.105;0.07
6;70;4;283.1;0.053;0.085
6;70;5;274.1;0.03;0.097
6;70;10;247.7;0.002;0.131
6;80;0;417.2;5;0.01
6;80;0.1;416.6;5;0.01
6;80;0.2;414.8;5;0.01
6;80;0.3;411.9;5;0.01
6;80;0.4;408;5;0.01
6;80;0.5;403.7;5;0.01
6;80;0.6;399.5;5;0.01
6;80;0.7;395.1;5;0.01
6;80;0.8;390.7;5;0.01
6;80;0.9;386.4;5;0.01
6;80;1;382.4;4.88;0.011
6;80;1.1;378.5;2.668;0.015
6;80;1.2;374.8;1.724;0.019
6;80;1.3;371.3;1.227;0.023
6;80;1.4;368.1;0.928;0.027
6;80;1.5;365;0.733;0.03
6;80;1.6;362.1;0.596;0.034
6;80;1.7;359.3;0.497;0.037
6;80;1.8;356.7;0.421;0.04
6;80;1.9;354.2;0.362;0.043
6;80;2;351.8;0.315;0.046
6;80;2.1;349.6;0.277;0.048
6;80;2.2;347.4;0.245;0.051
6;80;2.3;345.3;0.219;0.053
6;80;2.4;343.3;0.197;0.056
6;80;2.5;341.4;0.178;0.058
6;80;3;332.9;0.114;0.068
6;80;4;319.5;0.056;0.084
6;80;5;309.3;0.032;0.096
6;80;10;279.4;0.003;0.131
6;90;0;462;5;0.01
6;90;0.1;461.4;5;0.01
6;90;0.2;459.6;5;0.01
6;90;0.3;456.7;5;0.01
6;90;0.4;452.8;5;0.01
6;90;0.5;448.5;5;0.01
6;90;0.6;444.3;5;0.01
6;90;0.7;439.9;5;0.01
6;90;0.8;435.5;5;0.01
6;90;0.9;430.8;5;0.01
6;90;1;426.4;5;0.01
6;90;1.1;422.2;4.88;0.011
6;90;1.2;418.1;2.668;0.015
6;90;1.3;414.2;1.724;0.019
6;90;1.4;410.6;1.227;0.023
6;90;1.5;407.1;0.928;0.027
6;90;1.6;403.9;0.733;0.03
6;90;1.7;400.8;0.596;0.034
6;90;1.8;397.8;0.497;0.037
6;90;1.9;395;0.421;0.04
6;90;2;392.3;0.362;0.043
6;90;2.1;389.8;0.315;0.046
6;90;2.2;387.4;0.277;0.048
6;90;2.3;385;0.245;0.051
6;90;2.4;382.8;0.219;0.053
6;90;2.5;380.7;0.197;0.056
6;90;3;371.1;0.123;0.066
6;90;4;356;0.06;0.083
6;90;5;344.6;0.034;0.095
6;90;10;311.1;0.003;0.13
6;100;0;506.8;5;0.01
6;100;0.1;506.2;5;0.01
6;100;0.2;504.4;5;0.01
6;100;0.3;501.5;5;0.01
6;100;0.4;497.6;5;0.01
6;100;0.5;493.3;5;0.01
6;100;0.6;489.1;5;0.01
6;100;0.7;484.7;5;0.01
6;100;0.8;480.3;5;0.01
6;100;0.9;475.6;5;0.01
6;100;1;470.9;5;0.01
6;100;1.1;466.3;5;0.01
6;100;1.2;461.8;4.88;0.011
6;100;1.3;457.5;2.668;0.015
6;100;1.4;453.5;1.724;0.019
6;100;1.5;449.6;1.227;0.023
6;100;1.6;446;0.928;0.027
6;100;1.7;442.6;0.733;0.03
6;100;1.8;439.3;0.596;0.034
6;100;1.9;436.1;0.497;0.037
6;100;2;433.2;0.421;0.04
6;100;2.1;430.3;0.362;0.043
6;100;2.2;427.6;0.315;0.046
6;100;2.3;425;0.277;0.048
6;100;2.4;422.5;0.245;0.051
6;100;2.5;420.1;0.219;0.053
6;100;3;409.4;0.134;0.064
6;100;4;392.7;0.064;0.081
6;100;5;380;0.036;0.094
6;100;10;342.9;0.003;0.13
7;10;0;30.4;5;0.01
7;10;0.1;29.9;5;0.01
7;10;0.2;29;5;0.014
7;10;0.3;26.9;5;0.035
7;10;0.4;24.4;5;0.06
7;10;0.5;21.9;5;0.085
7;10;0.6;19.6;5;0.108
7;10;0.7;17.6;5;0.128
